clusterid,region,district,ward,village,ea,Latitude,Longitude,maipkg
70329201020,7,3,292,1,20,-6.893275794,39.26270935,1000
70330201048,7,3,302,1,48,-6.875384247,39.25025768,1000
80101103001,8,1,11,3,1,-8.541018188,39.24237401,1200
80118302301,8,1,183,2,301,-8.75634557,39.41945437,500
80203101009,8,2,31,1,9,-9.631540436,39.71345967,500
80214103007,8,2,141,3,7,-10.2512625,39.42546798,500
80321103002,8,3,211,3,2,-10.2761021,38.4596453,700
80510101004,8,5,101,1,4,-10.1314537,38.94475985,1200
80603201001,8,6,32,1,1,-10.00058261,39.70506023,800
90104105003,9,1,41,5,3,-10.54252733,40.27873696,500
90123101005,9,1,231,1,5,-10.22306805,40.22482855,450
90303102004,9,3,31,2,4,-10.74608661,38.69698708,500
90308307315,9,3,83,7,315,-10.49462673,39.02205957,500
90315107002,9,3,151,7,2,-10.87935789,39.06935541,500
90403101002,9,4,31,1,2,-10.80111076,39.86319492,500
90411101003,9,4,111,1,3,-10.88077447,39.50717994,600
90505205003,9,5,52,5,3,-10.26594472,40.1756417,500
90602103002,9,6,21,3,2,-10.9639918,38.5300396,500
90609102002,9,6,91,2,2,-10.85316669,38.83524693,425
90704302002,9,7,43,2,2,-10.67743305,38.89779652,500
1.00E+11,10,1,91,3,2,-11.09013025,37.48149637,400
1.00E+11,10,2,151,2,2,-10.38477564,35.63265528,375
1.00E+11,10,3,191,4,1,-10.72137482,35.14864343,116.66666
1.00E+11,10,4,72,5,6,-10.67974036,35.65443048,500
1.01E+11,10,5,31,6,2,-10.88092708,36.17429,250
1.01E+11,10,6,41,1,5,-11.34937156,34.86731221,500
1.10E+11,11,1,181,4,3,-7.425802928,35.84200022,1500
1.10E+11,11,2,173,1,1,-8.560051126,35.31955855,277.77777
1.10E+11,11,3,132,11,1,-7.741633591,35.65304913,250
1.10E+11,11,4,201,4,3,-7.512281643,36.10155944,444.44446
1.20E+11,12,1,211,1,3,-7.871687863,32.49064876,250
1.20E+11,12,2,101,1,6,-8.912927815,33.34590617,150
1.20E+11,12,3,31,2,1,-9.48096545,34.04232936,500
1.20E+11,12,4,31,1,2,-9.229182545,33.66312526,225
1.20E+11,12,4,211,2,8,-9.241634682,33.52306017,300
1.21E+11,12,6,51,1,5,-8.869042698,32.78418878,175
1.21E+11,12,6,121,1,14,-8.941708537,32.93826493,270
1.21E+11,12,7,43,3,1,-8.848529091,34.05057014,3500
1.21E+11,12,7,202,24,1,-8.7681881,34.33696355,333.33334
1.21E+11,12,9,121,4,4,-8.708899785,32.26289949,166.66667
1.30E+11,13,2,11,3,2,-4.504350175,34.95151459,350
1.30E+11,13,3,13,2,318,-5.7338902,34.84064236,555
